coicop,date,variable,values
Headline inflation,2016-09-01,1-year inflation,0.004201399333960833
Headline inflation,2016-09-01,3-year inflation,0.004415511174328484
Headline inflation,2016-10-01,1-year inflation,0.00460892656657086
Headline inflation,2016-10-01,3-year inflation,0.004288524574296204
Headline inflation,2016-11-01,1-year inflation,0.004152957334452303
Headline inflation,2016-11-01,3-year inflation,0.0032706024371145594
Headline inflation,2016-12-01,1-year inflation,0.005312455547195004
Headline inflation,2016-12-01,3-year inflation,0.003288598760816016
Headline inflation,2017-01-01,1-year inflation,0.0063573869034276404
Headline inflation,2017-01-01,3-year inflation,0.00313084271316348
Headline inflation,2017-02-01,1-year inflation,0.006079034631565379
Headline inflation,2017-02-01,3-year inflation,0.002852109666244152
Headline inflation,2017-03-01,1-year inflation,0.004345923998027739
Headline inflation,2017-03-01,3-year inflation,0.0031763876879416396
Headline inflation,2017-04-01,1-year inflation,0.004724899474066744
Headline inflation,2017-04-01,3-year inflation,0.0036703932958404187
Headline inflation,2017-05-01,1-year inflation,0.00458460481882217
Headline inflation,2017-05-01,3-year inflation,0.003632552773026441
Headline inflation,2017-06-01,1-year inflation,0.004833766915191113
Headline inflation,2017-06-01,3-year inflation,0.00360553794262818
Headline inflation,2017-07-01,1-year inflation,0.004976106803866195
Headline inflation,2017-07-01,3-year inflation,0.003930174035418931
Headline inflation,2017-08-01,1-year inflation,0.005040566155730678
Headline inflation,2017-08-01,3-year inflation,0.0036870666270328967
Headline inflation,2017-09-01,1-year inflation,0.004951387362272824
Headline inflation,2017-09-01,3-year inflation,0.003985714884304468
Headline inflation,2017-10-01,1-year inflation,0.004352539078477189
Headline inflation,2017-10-01,3-year inflation,0.003975009816959547
Headline inflation,2017-11-01,1-year inflation,0.004385325222587322
Headline inflation,2017-11-01,3-year inflation,0.0033338523390817458
Headline inflation,2017-12-01,1-year inflation,0.004045392872672517
Headline inflation,2017-12-01,3-year inflation,0.003510622815627514
Headline inflation,2018-01-01,1-year inflation,0.0044092136652146815
Headline inflation,2018-01-01,3-year inflation,0.0034333492307658717
Headline inflation,2018-02-01,1-year inflation,0.004154744718501419
Headline inflation,2018-02-01,3-year inflation,0.003383030296732474
Headline inflation,2018-03-01,1-year inflation,0.004453377893484791
Headline inflation,2018-03-01,3-year inflation,0.0032290820621775546
Headline inflation,2018-04-01,1-year inflation,0.005216493987558349
Headline inflation,2018-04-01,3-year inflation,0.0030747654872144855
Headline inflation,2018-05-01,1-year inflation,0.0059728744459189055
Headline inflation,2018-05-01,3-year inflation,0.0030937568268057745
Headline inflation,2018-06-01,1-year inflation,0.004464345250737003
Headline inflation,2018-06-01,3-year inflation,0.0032291420224148633
Headline inflation,2018-07-01,1-year inflation,0.003837015865206009
Headline inflation,2018-07-01,3-year inflation,0.003179673513389492
Headline inflation,2018-08-01,1-year inflation,0.004396414522504358
Headline inflation,2018-08-01,3-year inflation,0.003235290870727942
Headline inflation,2018-09-01,1-year inflation,0.004465404015147573
Headline inflation,2018-09-01,3-year inflation,0.003614440515262214
Headline inflation,2018-10-01,1-year inflation,0.0049676985078788375
Headline inflation,2018-10-01,3-year inflation,0.003875725863705793
Headline inflation,2018-11-01,1-year inflation,0.004088645648296013
Headline inflation,2018-11-01,3-year inflation,0.0037244516252155076
Headline inflation,2018-12-01,1-year inflation,0.0037903937980570224
Headline inflation,2018-12-01,3-year inflation,0.0036844428864717493
Headline inflation,2019-01-01,1-year inflation,0.004064641877203974
Headline inflation,2019-01-01,3-year inflation,0.0035560473428929338
Headline inflation,2019-02-01,1-year inflation,0.004071759226503602
Headline inflation,2019-02-01,3-year inflation,0.0035744661115605274
Headline inflation,2019-03-01,1-year inflation,0.0044783672395716755
Headline inflation,2019-03-01,3-year inflation,0.0029527453815581216
Headline inflation,2019-04-01,1-year inflation,0.005259723381642804
Headline inflation,2019-04-01,3-year inflation,0.0031987199238560663
Headline inflation,2019-05-01,1-year inflation,0.004432500997171985
Headline inflation,2019-05-01,3-year inflation,0.003259856048811543
Headline inflation,2019-06-01,1-year inflation,0.0055057356261963555
Headline inflation,2019-06-01,3-year inflation,0.0034784443055113717
Headline inflation,2019-07-01,1-year inflation,0.006272269614158793
Headline inflation,2019-07-01,3-year inflation,0.0036093277281868167
Headline inflation,2019-08-01,1-year inflation,0.006668753697402637
Headline inflation,2019-08-01,3-year inflation,0.0037483465357925527
Headline inflation,2019-09-01,1-year inflation,0.006463881048642918
Headline inflation,2019-09-01,3-year inflation,0.0036770749261549607
Headline inflation,2019-10-01,1-year inflation,0.006514541607193155
Headline inflation,2019-10-01,3-year inflation,0.003744608919033779
Headline inflation,2019-11-01,1-year inflation,0.006012494711696659
Headline inflation,2019-11-01,3-year inflation,0.0036956036714555934
Headline inflation,2019-12-01,1-year inflation,0.006057103082524142
Headline inflation,2019-12-01,3-year inflation,0.003835814784860536
Headline inflation,2020-01-01,1-year inflation,0.0054212635558509685
Headline inflation,2020-01-01,3-year inflation,0.004095318203253272
Headline inflation,2020-02-01,1-year inflation,0.006302840832174479
Headline inflation,2020-02-01,3-year inflation,0.004322900929824544
Headline inflation,2020-03-01,1-year inflation,0.005479590272439547
Headline inflation,2020-03-01,3-year inflation,0.003870371141611991
Headline inflation,2020-04-01,1-year inflation,0.005981876743485272
Headline inflation,2020-04-01,3-year inflation,0.0043231879417891216
Headline inflation,2020-05-01,1-year inflation,0.005981722313753864
Headline inflation,2020-05-01,3-year inflation,0.004487487539067511
Headline inflation,2020-06-01,1-year inflation,0.00711684352479113
Headline inflation,2020-06-01,3-year inflation,0.004751413690670502
Headline inflation,2020-07-01,1-year inflation,0.008216439486844515
Headline inflation,2020-07-01,3-year inflation,0.0047695632344756855
Headline inflation,2020-08-01,1-year inflation,0.005930462758372447
Headline inflation,2020-08-01,3-year inflation,0.004633867923250508
Headline inflation,2020-09-01,1-year inflation,0.0066053302030682996
Headline inflation,2020-09-01,3-year inflation,0.004868659293802693
Headline inflation,2020-10-01,1-year inflation,0.006543376685223523
Headline inflation,2020-10-01,3-year inflation,0.004742650591936429
Headline inflation,2020-11-01,1-year inflation,0.006146179249229965
Headline inflation,2020-11-01,3-year inflation,0.004219330317997975
Headline inflation,2020-12-01,1-year inflation,0.005961460603882353
Headline inflation,2020-12-01,3-year inflation,0.004366451444648264
Headline inflation,2021-01-01,1-year inflation,0.0070561295833170765
Headline inflation,2021-01-01,3-year inflation,0.004605747501564127
Headline inflation,2021-02-01,1-year inflation,0.0074418485281265885
Headline inflation,2021-02-01,3-year inflation,0.004902373742184394
Headline inflation,2021-03-01,1-year inflation,0.007494689628285423
Headline inflation,2021-03-01,3-year inflation,0.004868950166468638
