coicop,date,variable,values
Inflation globale,2014-10-01,Inflation sur 3 ans,0.004282165881141112
Inflation globale,2014-11-01,Inflation sur 1 an,0.004578228542179215
Inflation globale,2014-11-01,Inflation sur 3 ans,0.004749814647882846
Inflation globale,2014-12-01,Inflation sur 1 an,0.005832263943830068
Inflation globale,2014-12-01,Inflation sur 3 ans,0.004857393748016361
Inflation globale,2015-01-01,Inflation sur 1 an,0.005038279879503262
Inflation globale,2015-01-01,Inflation sur 3 ans,0.004232403324926105
Inflation globale,2015-02-01,Inflation sur 1 an,0.004580623394432099
Inflation globale,2015-02-01,Inflation sur 3 ans,0.003514781464881127
Inflation globale,2015-03-01,Inflation sur 1 an,0.0047338649730223215
Inflation globale,2015-03-01,Inflation sur 3 ans,0.003992463208507642
Inflation globale,2015-04-01,Inflation sur 1 an,0.006612643580933841
Inflation globale,2015-04-01,Inflation sur 3 ans,0.004592802744914124
Inflation globale,2015-05-01,Inflation sur 1 an,0.007459543392823344
Inflation globale,2015-05-01,Inflation sur 3 ans,0.0048183681169081454
Inflation globale,2015-06-01,Inflation sur 1 an,0.005132101063276821
Inflation globale,2015-06-01,Inflation sur 3 ans,0.00453464259498839
Inflation globale,2015-07-01,Inflation sur 1 an,0.006057907156686599
Inflation globale,2015-07-01,Inflation sur 3 ans,0.0047150186934261
Inflation globale,2015-08-01,Inflation sur 1 an,0.005669695637522615
Inflation globale,2015-08-01,Inflation sur 3 ans,0.004308939595098782
Inflation globale,2015-09-01,Inflation sur 1 an,0.006325363417165664
Inflation globale,2015-09-01,Inflation sur 3 ans,0.005028775442908612
Inflation globale,2015-10-01,Inflation sur 1 an,0.006834454291760083
Inflation globale,2015-10-01,Inflation sur 3 ans,0.0052350915795429925
Inflation globale,2015-11-01,Inflation sur 1 an,0.00354847197525564
Inflation globale,2015-11-01,Inflation sur 3 ans,0.004401043581501502
Inflation globale,2015-12-01,Inflation sur 1 an,0.0034185435463487484
Inflation globale,2015-12-01,Inflation sur 3 ans,0.004194824772825357
Inflation globale,2016-01-01,Inflation sur 1 an,0.004682630203778293
Inflation globale,2016-01-01,Inflation sur 3 ans,0.004265531744796795
Inflation globale,2016-02-01,Inflation sur 1 an,0.004652812537154693
Inflation globale,2016-02-01,Inflation sur 3 ans,0.0038869368920963557
Inflation globale,2016-03-01,Inflation sur 1 an,0.005412907183031477
Inflation globale,2016-03-01,Inflation sur 3 ans,0.004419279543710217
Inflation globale,2016-04-01,Inflation sur 1 an,0.005341206402564919
