coicop,date,weighted_yes_no,values
Inflation sous-jacente,2018-10-01,Écart-type non-pondéré,0.007574194416083573
Inflation globale,2018-10-01,Écart-type non-pondéré,0.008116908926821575
Inflation sous-jacente,2018-10-01,Écart-type pondéré,0.005122084645652474
Inflation globale,2018-10-01,Écart-type pondéré,0.0048295193657410815
Inflation sous-jacente,2018-09-01,Écart-type non-pondéré,0.007052248614896939
Inflation globale,2018-09-01,Écart-type non-pondéré,0.006660764931573867
Inflation sous-jacente,2018-09-01,Écart-type pondéré,0.0042050935940537515
Inflation globale,2018-09-01,Écart-type pondéré,0.0043777190639700475
Inflation sous-jacente,2018-08-01,Écart-type non-pondéré,0.007154498033074239
Inflation globale,2018-08-01,Écart-type non-pondéré,0.006634042984168061
Inflation sous-jacente,2018-08-01,Écart-type pondéré,0.003802358249247959
Inflation globale,2018-08-01,Écart-type pondéré,0.00440517786895505
Inflation sous-jacente,2018-07-01,Écart-type non-pondéré,0.006722115894959202
Inflation globale,2018-07-01,Écart-type non-pondéré,0.00603389548607217
Inflation sous-jacente,2018-07-01,Écart-type pondéré,0.0035848211811005007
Inflation globale,2018-07-01,Écart-type pondéré,0.003811600054295381
Inflation sous-jacente,2018-06-01,Écart-type non-pondéré,0.006279456899077215
Inflation globale,2018-06-01,Écart-type non-pondéré,0.007183863496534584
Inflation sous-jacente,2018-06-01,Écart-type pondéré,0.0033593677799205225
Inflation globale,2018-06-01,Écart-type pondéré,0.004369254932466912
Inflation sous-jacente,2018-05-01,Écart-type non-pondéré,0.006112110497761155
Inflation globale,2018-05-01,Écart-type non-pondéré,0.007108186533109108
Inflation sous-jacente,2018-05-01,Écart-type pondéré,0.0052010349935091
Inflation globale,2018-05-01,Écart-type pondéré,0.0060202749507049244
Inflation sous-jacente,2018-04-01,Écart-type non-pondéré,0.007556802442693254
Inflation globale,2018-04-01,Écart-type non-pondéré,0.008917162635821117
Inflation sous-jacente,2018-04-01,Écart-type pondéré,0.004371245056462041
Inflation globale,2018-04-01,Écart-type pondéré,0.005183390875936519
Inflation sous-jacente,2018-03-01,Écart-type non-pondéré,0.006290134296951394
Inflation globale,2018-03-01,Écart-type non-pondéré,0.008169906267580592
Inflation sous-jacente,2018-03-01,Écart-type pondéré,0.004522387343717426
Inflation globale,2018-03-01,Écart-type pondéré,0.004409903749741953
Inflation sous-jacente,2018-02-01,Écart-type non-pondéré,0.006027131638638208
Inflation globale,2018-02-01,Écart-type non-pondéré,0.008723833054219615
Inflation sous-jacente,2018-02-01,Écart-type pondéré,0.004199485480046859
Inflation globale,2018-02-01,Écart-type pondéré,0.004146199197339525
